Audit ID,Audit Type,Status,Date,Comments
AUD-001,Permission Review,Manual Review Required,2025-09-3,Sample comment 1
AUD-002,Configuration Check,Manual Review Required,2025-09-12,Sample comment 2
AUD-003,Login Audit,Fail,2025-09-4,Sample comment 3
AUD-004,Permission Review,Fail,2025-09-12,Sample comment 4
AUD-005,Login Audit,Fail,2025-09-5,Sample comment 5
AUD-006,File Integrity,Fail,2025-09-4,Sample comment 6
AUD-007,File Integrity,Pass,2025-09-4,Sample comment 7
AUD-008,Permission Review,Warning,2025-09-2,Sample comment 8
AUD-009,Vulnerability Scan,Manual Review Required,2025-09-2,Sample comment 9
AUD-010,File Integrity,Fail,2025-09-9,Sample comment 10
AUD-011,Login Audit,Pass,2025-09-4,Sample comment 11
AUD-012,Vulnerability Scan,Fail,2025-09-14,Sample comment 12
AUD-013,Configuration Check,Pass,2025-09-3,Sample comment 13
AUD-014,Configuration Check,Pass,2025-09-11,Sample comment 14
AUD-015,File Integrity,Manual Review Required,2025-09-8,Sample comment 15
AUD-016,Login Audit,Pass,2025-09-12,Sample comment 16
AUD-017,Login Audit,Manual Review Required,2025-09-10,Sample comment 17
AUD-018,Login Audit,Pass,2025-09-9,Sample comment 18
AUD-019,Login Audit,Warning,2025-09-2,Sample comment 19
AUD-020,Configuration Check,Warning,2025-09-6,Sample comment 20
AUD-021,Permission Review,Warning,2025-09-13,Sample comment 21
AUD-022,Login Audit,Warning,2025-09-6,Sample comment 22
AUD-023,Login Audit,Pass,2025-09-6,Sample comment 23
AUD-024,Configuration Check,Warning,2025-09-8,Sample comment 24
AUD-025,Configuration Check,Pass,2025-09-9,Sample comment 25
AUD-026,Vulnerability Scan,Pass,2025-09-5,Sample comment 26
AUD-027,Login Audit,Pass,2025-09-4,Sample comment 27
AUD-028,Permission Review,Warning,2025-09-2,Sample comment 28
AUD-029,Login Audit,Manual Review Required,2025-09-11,Sample comment 29
AUD-030,Login Audit,Fail,2025-09-5,Sample comment 30
AUD-031,Login Audit,Fail,2025-09-1,Sample comment 31
AUD-032,Permission Review,Manual Review Required,2025-09-3,Sample comment 32
AUD-033,Vulnerability Scan,Fail,2025-09-13,Sample comment 33
AUD-034,Login Audit,Warning,2025-09-15,Sample comment 34
AUD-035,File Integrity,Manual Review Required,2025-09-2,Sample comment 35
AUD-036,File Integrity,Fail,2025-09-1,Sample comment 36
AUD-037,Vulnerability Scan,Manual Review Required,2025-09-10,Sample comment 37
AUD-038,Vulnerability Scan,Manual Review Required,2025-09-10,Sample comment 38
AUD-039,Vulnerability Scan,Manual Review Required,2025-09-9,Sample comment 39
AUD-040,Permission Review,Warning,2025-09-2,Sample comment 40
AUD-041,Login Audit,Pass,2025-09-8,Sample comment 41
AUD-042,Vulnerability Scan,Pass,2025-09-5,Sample comment 42
AUD-043,Permission Review,Pass,2025-09-12,Sample comment 43
AUD-044,Configuration Check,Manual Review Required,2025-09-4,Sample comment 44
AUD-045,Configuration Check,Pass,2025-09-8,Sample comment 45
AUD-046,Login Audit,Fail,2025-09-13,Sample comment 46
AUD-047,Vulnerability Scan,Pass,2025-09-5,Sample comment 47
AUD-048,File Integrity,Fail,2025-09-10,Sample comment 48
AUD-049,Configuration Check,Fail,2025-09-8,Sample comment 49
AUD-050,Login Audit,Fail,2025-09-13,Sample comment 50
AUD-051,Login Audit,Warning,2025-09-8,Sample comment 51
AUD-052,File Integrity,Manual Review Required,2025-09-9,Sample comment 52
AUD-053,Vulnerability Scan,Manual Review Required,2025-09-10,Sample comment 53
AUD-054,Permission Review,Manual Review Required,2025-09-5,Sample comment 54
AUD-055,Login Audit,Pass,2025-09-9,Sample comment 55
AUD-056,File Integrity,Manual Review Required,2025-09-12,Sample comment 56
AUD-057,File Integrity,Pass,2025-09-11,Sample comment 57
AUD-058,Vulnerability Scan,Fail,2025-09-12,Sample comment 58
AUD-059,Vulnerability Scan,Manual Review Required,2025-09-6,Sample comment 59
AUD-060,Configuration Check,Manual Review Required,2025-09-12,Sample comment 60
AUD-061,Permission Review,Manual Review Required,2025-09-13,Sample comment 61
AUD-062,Permission Review,Fail,2025-09-1,Sample comment 62
AUD-063,File Integrity,Warning,2025-09-12,Sample comment 63
AUD-064,Vulnerability Scan,Warning,2025-09-5,Sample comment 64
AUD-065,Permission Review,Warning,2025-09-1,Sample comment 65
AUD-066,Login Audit,Fail,2025-09-3,Sample comment 66
AUD-067,Vulnerability Scan,Fail,2025-09-15,Sample comment 67
AUD-068,File Integrity,Manual Review Required,2025-09-3,Sample comment 68
AUD-069,Configuration Check,Manual Review Required,2025-09-11,Sample comment 69
AUD-070,Vulnerability Scan,Warning,2025-09-10,Sample comment 70
AUD-071,Configuration Check,Warning,2025-09-1,Sample comment 71
AUD-072,Configuration Check,Manual Review Required,2025-09-5,Sample comment 72
AUD-073,File Integrity,Pass,2025-09-14,Sample comment 73
AUD-074,Login Audit,Warning,2025-09-9,Sample comment 74
AUD-075,Configuration Check,Manual Review Required,2025-09-2,Sample comment 75
AUD-076,File Integrity,Manual Review Required,2025-09-2,Sample comment 76
AUD-077,Vulnerability Scan,Warning,2025-09-15,Sample comment 77
AUD-078,Permission Review,Fail,2025-09-7,Sample comment 78
AUD-079,Vulnerability Scan,Manual Review Required,2025-09-5,Sample comment 79
AUD-080,Permission Review,Pass,2025-09-11,Sample comment 80
AUD-081,Configuration Check,Warning,2025-09-11,Sample comment 81
AUD-082,Permission Review,Warning,2025-09-5,Sample comment 82
AUD-083,Login Audit,Fail,2025-09-14,Sample comment 83
AUD-084,Vulnerability Scan,Pass,2025-09-9,Sample comment 84
AUD-085,Vulnerability Scan,Manual Review Required,2025-09-15,Sample comment 85
AUD-086,Vulnerability Scan,Manual Review Required,2025-09-12,Sample comment 86
AUD-087,Vulnerability Scan,Manual Review Required,2025-09-12,Sample comment 87
AUD-088,Configuration Check,Pass,2025-09-15,Sample comment 88
AUD-089,Permission Review,Fail,2025-09-7,Sample comment 89
AUD-090,Vulnerability Scan,Manual Review Required,2025-09-7,Sample comment 90
AUD-091,Permission Review,Fail,2025-09-10,Sample comment 91
AUD-092,Login Audit,Manual Review Required,2025-09-6,Sample comment 92
AUD-093,Permission Review,Pass,2025-09-6,Sample comment 93
AUD-094,File Integrity,Manual Review Required,2025-09-8,Sample comment 94
AUD-095,Vulnerability Scan,Fail,2025-09-6,Sample comment 95
AUD-096,Login Audit,Pass,2025-09-10,Sample comment 96
AUD-097,File Integrity,Fail,2025-09-13,Sample comment 97
AUD-098,Login Audit,Pass,2025-09-9,Sample comment 98
AUD-099,Vulnerability Scan,Fail,2025-09-12,Sample comment 99
AUD-100,Configuration Check,Fail,2025-09-15,Sample comment 100
